Timestamp,Name of the extracting person,Scimago Subject Area,Full name of the award,Source of the information on the award,Paste the information text describing the award,Confirm eligibility of the award,Comment on the award eligibility ,Full name of the awarding journal,Full name of the awarding society,Full name of the awarding publisher/other body,Comment on the awarding body ,Award cash,Comment on the award cash ,"Target career stage of eligible applicants, as stated in the award information ",Comment on the career stage ,Flexibility of the eligibility criteria,Eligibility phrasing,Inclusivity statement,Inclusivity phrasing,Assessor transparency,Assessor phrasing,Process transparency,Process phrasing,Feedback availability,Feedback phrasing,Criteria transparency,Criteria phrasing,Valuing Open Science,Valuing Open Science phrasing,Self-nomination allowed,Self-nomination phrasing,Letter required,Letter requirement phrasing,Awardee list source,Awardee list most recent year ,Awardee list earliest year ,Comments on awardees list,Comments_general,,,,,,
3/26/2023 12:26:57,Losia Lagisz,Chemical Engineering,Japan Society of Sonochemistry Best Paper Award,http://www.j-sonochem.org/Award.htm,"Paper Award
The Best Paper Award is given to authors of outstanding papers published in academic journals such as Ultrasonics Sonochemistry that were printed in the previous year.
1) Prizes are awarded to papers, but in principle co-authors should avoid consecutive awards.
2) In principle, no more than two cases per year.
...
Call for Award Candidates
We are soliciting candidates for the Society Award, Paper Award, and Achievement Award.
Please use the following recommendation letter form and make a recommendation within the deadline (in principle, by the end of the month two months prior to the month in which the conference is held).
...
However, each award candidate must be a member of the Society.",yes (eligible award),,NA,Japan Society of Sonochemistry,NA,,no,,any career stage,,not applicable,,no,,no,,no,,no,,no,The Best Paper Award is given to authors of outstanding papers published in academic journals such as Ultrasonics Sonochemistry that were printed in the previous year.,no,,no,,yes,Please use the following recommendation letter form and make a recommendation within the deadline ,http://www.j-sonochem.org/Award/ronbunichiran.htm,2022,2003,"From 2008, the academic award was renamed the paper award","From 2008, the academic award was renamed the paper award",,,,,,
3/26/2023 12:32:56,Losia Lagisz,Chemical Engineering,Frenkiel Award for Fluid Mechanics,https://journals.aps.org/prfluids/frenkiel-award-for-fluid-mechanics,"The Frenkiel Award for Fluid Mechanics recognizes significant contributions to the field by early career scientists. Named for François Naftali Frenkiel, the award is sponsored by the APS Division of Fluid Dynamics and presented at its annual meeting. Since 2017, the Frenkiel Award has been given to authors in the early stages of their career who have published an outstanding paper in Physical Review Fluids. The award previously honored papers in Physics of Fluids, the journal Frenkiel founded in 1958 and from which Physical Review Fluids evolved in 2016.",yes (eligible award),,Physical Review Fluid,NA,NA,,no,,early-career,"Since 2017, the Frenkiel Award has been given to authors in the early stages of their career who have published an outstanding paper in Physical Review Fluids",no,,no,,no,,no,,no,,no,"Since 2017, the Frenkiel Award has been given to authors in the early stages of their career who have published an outstanding paper in Physical Review Fluids.",no,,no,,no,,https://journals.aps.org/prfluids/frenkiel-award-for-fluid-mechanics,2022,2017,,"The award previously honored papers in Physics of Fluids, the journal Frenkiel founded in 1958 and from which Physical Review Fluids evolved in 2016.",,,,,,
3/26/2023 12:46:44,Losia Lagisz,Chemical Engineering,Extreme Mechanics Letters Young Investigator Award,https://www.materialstoday.com/extreme-mechanics-letters-young-award-2022/,"The Extreme Mechanics Letters (EML) Young Investigator Award is provided by Elsevier to honor the best paper by a young scientist which has been published in volumes 48-56  of EML, from 2021 to 2022.
Extreme Mechanics Letters (ISI-indexed) publishes rapid communication of research that highlights the role of mechanics in multi-disciplinary areas across materials science, physics, chemistry, biology, medicine and engineering; with an emphasis on the impact, depth and originality of new concepts, methods and observations at the forefront of applied sciences.
The award is made annually to the corresponding authors of the paper who received her/his Ph.D. no more than 10 years prior to the year of award. Corresponding authors who have yet to receive a Ph.D. will also be considered.
The award winner will receive a plaque, cash prize of 1500 USD, and the opportunity to present their research as part of the EML webinar series.",yes (eligible award),,Extreme Mechanics Letters ,NA,Elsevier,,yes,"1500 USD, plaque, opportunity to present their research as part of the EML webinar series","student, early-career","The award is made annually to the corresponding authors of the paper who received her/his Ph.D. no more than 10 years prior to the year of award. Corresponding authors who have yet to receive a Ph.D. will also be considered.
",no,,no,,no,,no,,no,,no,best paper,no,,no,,yes, To submit a nomination complete the nomination form.,https://www.materialstoday.com/extreme-mechanics-letters-young-award-2022/,2019,2015,likely skipped years 2020-2021 - cannot find any info,,,,,,,
3/26/2023 12:55:12,Losia Lagisz,Chemical Engineering,International Journal of Molecular Sciences Best Paper Award,https://www.mdpi.com/journal/ijms/awards,"We are pleased to announce the “IJMS 2024 Best Paper Award” for research and review articles published in IJMS in 2022. Three reviews and three research articles will each receive an award. The papers will be selected after a thorough evaluation by the IJMS Award Committee, led by the Editors-in-Chief.
Eligibility for the Award:
– Papers published in IJMS in 2022;
– Open to all career levels;
– Both regular and Special Issue submissions will be considered.
Selection Criteria:
The papers will be selected by the journal Award Committee according to the following criteria:
– Scientific merit and broad impact;
– Originality of the research objectives and/or the ideas presented;
– Creativity of the study design or uniqueness of the approaches and concepts;
– Clarity of presentation;
– Citations and downloads.
The Prize:
– Three review awards: a chance to publish a paper free of charge after peer review in IJMS in 2024;
– Three research article awards: a chance to publish a paper free of charge after peer review in IJMS in 2024;
– Each winner will also receive a certificate.",yes (eligible award),,International Journal of Molecular Sciences ,NA,NA,,no,waiving publication fees for one article,any career stage,,not applicable,,no,,no,"""IJMS Award Committee""",no,,no,,yes,"The papers will be selected by the journal Award Committee according to the following criteria:
– Scientific merit and broad impact;
– Originality of the research objectives and/or the ideas presented;
– Creativity of the study design or uniqueness of the approaches and concepts;
– Clarity of presentation;
– Citations and downloads.",no,,no,,no,The papers will be selected by the journal Award Committee,https://www.mdpi.com/journal/ijms/awards,2022,2018,,,,,,,,
3/26/2023 13:02:54,Losia Lagisz,Chemical Engineering,Case Studies in Chemical and Environmental Engineering Best Paper Award,https://www.sciencedirect.com/journal/case-studies-in-chemical-and-environmental-engineering/about/news,NA,yes (eligible award),,Case Studies in Chemical and Environmental Engineering,NA,NA,,not available,,any career stage,"no description available, but the award name does not mention early career etc.",not available,,not available,,not available,,not avialable,,not available,,not available,,not available,,not available,,not available,,https://www.sciencedirect.com/journal/case-studies-in-chemical-and-environmental-engineering/about/news,2022,2022,cannot find any earlier winners,cannot find description of the award,,,,,,
3/26/2023 13:12:09,Losia Lagisz,Chemical Engineering,Carbon Resources Conversion Most Cited and Most Downloaded paper awards,https://www.keaipublishing.com/en/journals/carbon-resources-conversion/news/carbon-resources-conversion-2021-awards-announced/,NA,yes (eligible award),,Carbon Resources Conversion,NA,NA,,no,,any career stage,no info,not available,,not available,,not available,,not avialable,,not available,,yes,two categories: most cited and most downloaded papers,not available,,not available,,not available,,https://www.keaipublishing.com/en/journals/carbon-resources-conversion/news/carbon-resources-conversion-2021-awards-announced/,2021,2021,cannot find info from other years,Use two award categories: most cited and most downloaded papers,,,,,,
3/26/2023 13:31:56,Losia Lagisz,Chemical Engineering,Molecular Systems Design & Engineering Outstanding Early-Career Paper Award,https://blogs.rsc.org/me/2023/03/09/2022-msde-outstanding-early-career-award-winner-gregory-hudalla/,"The aim of the Molecular Systems Design & Engineering Outstanding Early-Career Paper Award is to recognise a researcher in the earlier stages of their research career for their leadership in reporting original research published in the journal.
The journal Editorial Board award this prize annually, selecting the paper which they find to demonstrate the highest quality of research, as well as importance to the advancement of the field of molecular engineering, out of all qualifying papers published in the journal each year.
Eligibility
In order to be eligible for this award, the candidate must:
Be listed as a corresponding author on the paper
Currently be an independent research leader
Have either a) received their PhD on or after 1st January of the year 12 years prior to the award year (2009 for prize year 2021) or b) spent no more than an equivalent amount of time in research when taking into account any career breaks.
Have a paper featured in the journal’s Emerging Investigator Series – further information about eligibility for the Emerging Investigator Series can be found here. The Editorial Office will consider applications to the Series on their own merit; please contact us if you are interested in being considered for the series or nominating an exceptional early-career colleague.
Not be a previous winner of this award
Selection Process
To choose the winner of the 2022 Molecular Systems Design & Engineering Outstanding Early-Career Paper Award, a shortlist of eligible articles that were published throughout the year were selected by the editorial office and then subsequently assessed by the journal’s Editorial Board. The winner was selected based upon the significance, impact and quality of the research.
Prize
The winner of the Molecular Systems Design & Engineering Outstanding Early-Career Paper Award will receive an engraved plaque, a bespoke infographic from Impact Science for the winning paper and £500 cash award that would be used for conference travel/attendance of their choice.
To have your paper considered for the 2023 Molecular Systems Design & Engineering Outstanding Early-Career Paper Award, indicate when prompted upon submission of your revised manuscript if a corresponding author of the paper fulfils the criteria to feature in the Emerging Investigator Series. If accepted, your paper will be added to the ongoing collection and will be considered for the award. Multiple eligible authors of a winning paper will share the prize fund equally. You can contact the editors at molecularengineering-rsc@rsc.org  if you have any queries.",yes (eligible award),,Molecular Systems Design & Engineering,NA,NA,,yes,"500 GBP, plaque, a bespoke infographic from Impact Science for the winning paper ",early-career,Have either a) received their PhD on or after 1st January of the year 12 years prior to the award year (2009 for prize year 2021) or b) spent no more than an equivalent amount of time in research when taking into account any career breaks.,yes,Have either a) received their PhD on or after 1st January of the year 12 years prior to the award year (2009 for prize year 2021) or b) spent no more than an equivalent amount of time in research when taking into account any career breaks.,no,,yes,"To choose the winner of the 2022 Molecular Systems Design & Engineering Outstanding Early-Career Paper Award, a shortlist of eligible articles that were published throughout the year were selected by the editorial office and then subsequently assessed by the journal’s Editorial Board",no,,no,,no,"The winner was selected based upon the significance, impact and quality of the research.",no,,yes,"To have your paper considered for the 2023 Molecular Systems Design & Engineering Outstanding Early-Career Paper Award, indicate when prompted upon submission of your revised manuscript if a corresponding author of the paper fulfils the criteria to feature in the Emerging Investigator Series.",no,"To have your paper considered for the 2023 Molecular Systems Design & Engineering Outstanding Early-Career Paper Award, indicate when prompted upon submission of your revised manuscript if a corresponding author of the paper fulfils the criteria to feature in the Emerging Investigator Series.",https://blogs.rsc.org/me/?s=early-career+award&doing_wp_cron=1679797867.4016950130462646484375,2022,2019,awardees announced in the journal blog,,,,,,,
3/26/2023 23:49:22,Losia Lagisz,Environmental Science,Methods in Ecology and Evolution Robert May Prize,https://www.britishecologicalsociety.org/publications/best-paper-by-an-early-career-researcher/robert-may-prize/,"The Methods in Ecology and Evolution (MEE) Robert May early career researcher award is named after Lord May, from the University of Oxford. The prize is awarded annually to the best paper submitted by an early career author at the start of their research career. In the absence of extenuating circumstances, ‘early career’ is defined as less than 5 years post-Ph.D. or -D.Phil. experience according to the date of your graduation certificate.

If the first author of a paper considers that they are eligible for this award, they are invited to nominate themselves during the submission process through ScholarOne Manuscripts. Those nominated are in the early stages of their research career; slightly older authors who have had their careers in ecology interrupted or have developed later, can also be considered.

The winner is selected by the Editors of MEE at the end of each year, and an announcement made early in the following year. Along with this prestigious prize, the winner receives £250 and a year’s membership to the BES, which are presented at the BES Annual Meeting in the UK, if the winner can attend.
",yes (eligible award),,Methods in Ecology and Evolution,British Ecological Society,NA,,yes,"250 GBP,  year’s membership",early-career,"In the absence of extenuating circumstances, ‘early career’ is defined as less than 5 years post-Ph.D. or -D.Phil. experience according to the date of your graduation certificate.",yes,"In the absence of extenuating circumstances, ‘early career’ is defined as less than 5 years post-Ph.D. or -D.Phil. experience according to the date of your graduation certificate.",no,,yes,The winner is selected by the Editors of MEE ,no,,no,,no,The prize is awarded annually to the best paper submitted by an early career author at the start of their research career.,no,,yes,"If the first author of a paper considers that they are eligible for this award, they are invited to nominate themselves during the submission process through ScholarOne Manuscripts.",no,"If the first author of a paper considers that they are eligible for this award, they are invited to nominate themselves during the submission process through ScholarOne Manuscripts.",https://www.britishecologicalsociety.org/publications/best-paper-by-an-early-career-researcher/robert-may-prize/,2021,2010,,,,,,,,
3/27/2023 0:31:48,Losia Lagisz,Environmental Science,The Ralph C. d'Arge and Allen V. Kneese Award for Outstanding Publication,https://www.aere.org/best-jaere-paper,"Each year, AERE selects an outstanding research paper published in the Journal of the Association of Environmental and Resource Economists during the calendar year.",yes (eligible award),,Journal of the Association of Environmental and Resource Economists,Association of Environmental and Resource Economists,NA,,no,,any career stage,,not applicable,,no,,no,,no,,no,,no,"Each year, AERE selects an outstanding research paper published in the Journal of the Association of Environmental and Resource Economists during the calendar year.",no,,no,,no,,https://www.aere.org/best-jaere-paper,2021,2008,,,,,,,,
3/27/2023 0:48:58,Losia Lagisz,Environmental Science,Environmental Science & Technology Best Paper Award,https://pubs.acs.org/doi/10.1021/acs.est.2c07931; https://pubs.acs.org/doi/10.1021/acs.est.1c05550,"Each year, ES&T has the important and delightful task of picking the Best Papers published in the journal during the previous year from an outstanding selection, already determined as high quality by virtue of their publication in the journal. Nominations received from our distinguished Associate Editors are reviewed and ranked by our esteemed Editorial Advisory Board, with the review and ranking process expertly coordinated by Professor Patricia Holden (University of California, Santa Barbara, USA). From among the top-ranked papers, the Executive Editor Team then chooses the final Best Papers winners in the categories of Environmental Science, Environmental Technology, Environmental Policy, and Features/Critical Reviews. ",yes (eligible award),,Environmental Science & Technology,NA,NA,,no,,any career stage,,not applicable,,no,,no,,no,,no,,no,"ES&T is proud to announce the following Best Papers winners, recognized for their unique and important contributions to the field of environmental science and technology.",no,,no,,no,,"https://pubs.acs.org/doi/10.1021/acs.est.2c07931; https://pubs.acs.org/doi/10.1021/acs.est.1c05550;
https://pubs.acs.org/doi/abs/10.1021/es087066v",2021,2007,need to search journal editorials and announcements for the list,no dedicated webpage,,,,,,
3/27/2023 1:41:50,Aswathi Surendran,Arts and Humanities,ASQ Award for Scholarly Contribution Winners,https://journals.sagepub.com/doi/full/10.1177/0001839219863910 ; https://www.socialsciencespace.com/2013/08/asq-award-for-scholarly-contribution/ ; https://www.johnson.cornell.edu/administrative-science-quarterly/about/,NA,yes (eligible award),,Administrative Science Quarterly ,NA,Samuel Curtis Johnson Graduate School of Management at Cornell University,,no,,any career stage,,not applicable,,no,,yes,"These awards are decided by independent committees who examine the eligible papers and judge which one best meets the award criteria. The ASQ Dissertation Award Committee was chaired by Blake Ashforth and composed of Jason Colquitt, Trish Reay, and Myles Shaver. The ASQ Award for Scholarly Contribution Committee was chaired by Sameer Srivastava and composed of J. P. Eggers, Jennifer Petriglieri, and Brent Scott. I thank the committee members for their thoughtful work and fine choices.",no,,no,,no,,no,,no,,no,,https://journals.sagepub.com/topic/collections-asq/asq-2-asq_award_for_scholarly_contribution_winners/asq,2022,1999,The list of awaredee is not updated in the list https://journals.sagepub.com/topic/collections-asq/asq-2-asq_award_for_scholarly_contribution_winners/asq . it was found from the editor note.,"The award details were not specifically detailed in a page, rather found the information from the editor's note on the award announcement. ",,,,,,
3/27/2023 2:06:38,Aswathi Surendran,Arts and Humanities,Ferber Award,https://consumerresearcher.com/awards/ferberaward,"Selection Process

The journal’s Editorial Review Board and associate editors are provided with all eligible articles published in the most recent volume and invited to nominate up to three articles that are most deserving of the Ferber Award. The finalist articles are then evaluated by a panel of three distinguished consumer researchers representing a variety of disciplinary persuasions. The panel selects the winner(s) after judging candidate articles on interdisciplinary orientation, contribution to knowledge, organization and conciseness, and readability.
Eligibility Requirements

All articles published in JCR that are based on a doctoral dissertation are eligible for the Ferber Award if:

    The author note states that the article is based on the lead author’s dissertation
    The author note does not state that all authors contributed equally to the article
    All co-authors agree that the lead author completed most of the work on the article
    The first submission of the article to JCR occurred within three (3) years of the lead author receiving their PhD
    The lead author has not won the Ferber Award or received an Honorable Mention previously
",yes (eligible award),,Journal of Consumer Research,NA,NA,,no,,early-career,The first submission of the article to JCR occurred within three (3) years of the lead author receiving their PhD,no,The first submission of the article to JCR occurred within three (3) years of the lead author receiving their PhD,no,,yes,"The journal’s Editorial Review Board and associate editors are provided with all eligible articles published in the most recent volume and invited to nominate up to three articles that are most deserving of the Ferber Award. The finalist articles are then evaluated by a panel of three distinguished consumer researchers representing a variety of disciplinary persuasions. The panel selects the winner(s) after judging candidate articles on interdisciplinary orientation, contribution to knowledge, organization and conciseness, and readability.",no,,no,,no,"The panel selects the winner(s) after judging candidate articles on interdisciplinary orientation, contribution to knowledge, organization and conciseness, and readability.",no,,no,,no,,https://academic.oup.com/jcr/article/49/4/697/6825750,2022,2015,,,,,,,,
3/27/2023 2:21:14,Aswathi Surendran,Arts and Humanities,Arnold Zellner Award,https://community.amstat.org/businessandeconomicstatisticssection/new-item/new-item2,"Theses are eligible for the Zellner Award if they have been defended in the preceding two years, January 2021 to December 2022, and have not previously been considered for the Award.",yes (eligible award),,NA, American Statistical Association Community,NA,,yes,"The award includes a $1500 prize, generously provided by SAS Institute.​",early-career,"Theses are eligible for the Zellner Award if they have been defended in the preceding two years, January 2021 to December 2022, and have not previously been considered for the Award.",not applicable,,no,,yes,The editors of JBES convene the Awards Committee in consultation with the current Chair of the Business and Economic Statistics Section to form the Awards Committee from the Section Membership and the Editorial Board of JBES.,no,,no,,no,"The range of topics is broad and includes, among others, econometric methods, statistical problems in forecasting, seasonal adjustment, data quality, empirical studies including finance, industrial organization, health, labor, general micro, and macroeconomic analysis, as well as policy evaluations. Theses in the areas of computation, simulation, and graphics are eligible as long as the research is of direct interest to business and economic statistics.",no,,yes,"Entrants must supply a web URL from which a PDF copy of the thesis can be downloaded. After posting your thesis, send an email with your name and contact information, the date and institution of your defended thesis, and the URL, to the Zellner Awards Committee at jbes.asa@gmail.com. You will receive confirmation that your submission was received.",yes,"In order for your submission to be considered, you must arrange for one of your supervisors to send a nominating letter explaining the significance of your work to jbes.asa@gmail.com. Once this letter is received your submission will be entered into the competition.",https://community.amstat.org/businessandeconomicstatisticssection/new-item/new-item2,2022,1994,,Award is also mentioned as  Zellner Thesis Award,,,,,,
3/27/2023 2:30:53,Aswathi Surendran,Arts and Humanities,Human Relations Paper of the Year Award ,https://journals.sagepub.com/doi/full/10.1177/0018726718817507,"The Human Relations Paper of the Year Award is given to the paper that the Editorial Team considers best encapsulates broad readership appeal, sound methods, and whose theory advances our understanding of human relations at work.",yes (eligible award),,Human relations,NA,NA,,no,,any career stage,The editors looked at all the articles published in the 71st volume before arriving at a short list of 12 nominated articles for consideration for the 2018 Paper of the Year Award. These shortlisted papers covered a very wide variety of topics and methods and the editors read all 12 papers carefully before scoring each. Total scores for each nomination revealed a clear winner:,not applicable,,no,,yes,The editors looked at all the articles published in the 71st volume before arriving at a short list of 12 nominated articles for consideration for the 2018 Paper of the Year Award. These shortlisted papers covered a very wide variety of topics and methods and the editors read all 12 papers carefully before scoring each. Total scores for each nomination revealed a clear winner:,not avialable,,not available,,no,"The Human Relations Paper of the Year Award is given to the paper that the Editorial Team considers best encapsulates broad readership appeal, sound methods, and whose theory advances our understanding of human relations at work.",no,,no,,no,,https://journals.sagepub.com/page/hum/collections/paper-of-the-year?#/,2021,2005,,,,,,,,
3/27/2023 2:45:07,Aswathi Surendran,Arts and Humanities,Psychonomic Society Best Article Award,https://www.springer.com/journal/13428/updates/23530862 ; https://www.psychonomic.org/page/BestArticleAward,"The Psychonomic Society Best Article Award honors individuals for the best paper published in each Psychonomic Society journal in the last year. Articles are chosen by each of the Society's journals during the summer and the selected first authors of those papers will be honored at the Annual Meeting and receive a monetary award. One recipient from each journal is chosen for this honor and will receive a certificate and a monetary award of $1,000 USD. ",yes (eligible award),,Behavior Research Methods, Psychonomic Society ,NA,The Psychonomic Society Best Article Award honors individuals for the best paper published in each Psychonomic Society journal in the last year. ,yes,"One recipient from each journal is chosen for this honor and will receive a certificate and a monetary award of $1,000 USD.",any career stage,The Psychonomic Society Best Article Award honors individuals for the best paper published in each Psychonomic Society journal in the last year.,not applicable,,no,,yes,Awarded by Editor-in-Chiefs of each journal.,no,,no,,no,,no,,no,,no,,https://www.psychonomic.org/page/BestArticleAward,2022,2013,,Awards are given to multiplejournals under the society. Therefore considered considered the 'behaviour reearch method' journal mentioned in the Link_award column,,,,,,
3/27/2023 3:09:13,Aswathi Surendran,Arts and Humanities,The Bharadwaj-Wolf Prize,https://www.tandfonline.com/action/journalInformation?show=aimsScope&journalCode=fjps20& ; https://www.tandfonline.com/doi/full/10.1080/03066150801983295,The Bharadwaj-Wolf Prize is awarded every two years for an outstanding article published in the Journal by a ‘young scholar’ (either a graduate student or a scholar who has held a PhD degree for no longer than four years at the time of submission). An article jointly authored by a young and a senior scholar qualifies. The prize includes an award of £1000.,yes (eligible award),,The Journal of Peasant Studies ,NA,NA,,yes,"The prize includes an award of £1000. Though they mention £1000, it is split between multiple awards (£250 each)  in earlier years",early-career,either a graduate student or a scholar who has held a PhD degree for no longer than four years at the time of submission),no,either a graduate student or a scholar who has held a PhD degree for no longer than four years at the time of submission),no,,yes,"For the 2019–2020 Bharadwaj-Wolf Award, a committee made up of Journal of Peasant
Studies Associate Editors Sérgio Sauer and Annie Shattuck and Book Reviews Section Co-
Editor and Bharadwaj-Wolf Award 2017–2018 winner Ricardo Jacobs reviewed six excellent
shortlisted papers. After much discussion, we are pleased to award the 2019–2020 Bharad-
waj-Wolf Prize to Dr. Aniket Aga",no,,no,,not available,,no,,no,,no,,https://www.tandfonline.com/action/doSearch?AllField=The+Bharadwaj-Wolf+Prize&SeriesKey=fjps20,2020,2008,"Earliest evidence of award is found in 2008, however the format and prize was different in 2008.",,,,,,,
3/27/2023 3:23:04,Aswathi Surendran,Arts and Humanities,R. Edward Freeman Journal of Business Ethics Philosophy in Practice Best Paper Award,https://www.springer.com/journal/10551/updates/20120012,This award honors Professor R. Edward Freeman’s objective of developing the depth and range of philosophy published in business ethics. It is given annually to the best paper invoking a philosophical approach in examining and improving business in practice.,yes (eligible award),,Journal of Business Ethics,NA,NA,,no,,any career stage,. It is given annually to the best paper invoking a philosophical approach in examining and improving business in practice.,not applicable,,no,,no,,no,,no,,no,This award honors Professor R. Edward Freeman’s objective of developing the depth and range of philosophy published in business ethics. It is given annually to the best paper invoking a philosophical approach in examining and improving business in practice.,no,,no,,no,,https://www.springer.com/journal/10551/updates/20120012,2022,2021,,,,,,,,
3/27/2023 3:41:59,Aswathi Surendran,Arts and Humanities,Arthur H. Cole Prize for the outstanding article,https://eh.net/eha/prizes/arthur-h-cole-prize/,"

The Arthur H. Cole Prize is awarded annually by the Editorial Board of the Journal of Economic History for the best article in the previous year’s volume of the Journal.
",yes (eligible award),, Journal of Economic History,NA,NA,,no,,any career stage,"

The Arthur H. Cole Prize is awarded annually by the Editorial Board of the Journal of Economic History for the best article in the previous year’s volume of the Journal.
",not applicable,,no,,yes,The Arthur H. Cole Prize is awarded annually by the Editorial Board of the Journal of Economic History,no,,no,,no,The Arthur H. Cole Prize is awarded annually by the Editorial Board of the Journal of Economic History for the best article in the previous year’s volume of the Journal.,no,,no,,no,,NA,2022,,The awaredee are not listed in the journal. Information found from other sources: https://quantitativehistory.org/news/arthur-h-cole-prize-best-article-journal-economic-history-goes-our-co-director-chicheng-ma,,,,,,,
3/27/2023 3:53:55,Aswathi Surendran,Arts and Humanities,Kanter Award,https://centers.purdue.edu/cff/initiatives/kanteraward/,"The Kanter Award is given to the authors who publish the best work-family research article during a calendar year (note that “family” is broadly defined). No external nominations are accepted for the award. Instead, every article published in a large number of scientific journals is scrutinized by a large committee of esteemed scholars who generate a list of award candidates.",yes (eligible award),,NA,NA,"Center for Families at Purdue University, the Center for Work and Family at Boston College, and the Boston College Center Workforce Roundtable","The Rosabeth Moss Kanter Award for Excellence in Work-Family Research is a partnership of the Center for Families at Purdue University, the Center for Work and Family at Boston College, and the Boston College Center Workforce Roundtable, a group of leading organizations who sponsor the award.",no,,any career stage,,not applicable,,no,,yes," Structure of the Review Committee
The committee is chaired by Shelley MacDermid Wadsworth, distinguished professor at Purdue University. Using a variety of criteria, the committee chair invites reviewers to serve. For example, reviewers are selected to represent a variety of scientific fields and institutions. International representation is desirable. Each year, nominees and winners from the prior year are invited to serve on the committee. Volunteers are invited to join the committee via work-family networks and listservs. Both junior and advanced scholars are invited to serve, but most members are senior scholars with long publication records. Membership on the committee rotates on a staggered cycle of approximately three years. 
  https://centers.purdue.edu/cff/initiatives/kanteraward/committee/",no,,no,,yes,"Award Criteria

The basic criterion for selection of the Kanter nominees and winners is quality. For researchers, this means scientific rigor. What indicators of rigor do the nominated studies exemplify?

Strong connections to theory
By linking their ideas to theoretical schools of thought, the authors position their studies at the leading edge of existing knowledge. Their findings not only test their own hypotheses, but the propositions of entire theories. As the evidence for or against particular theories mounts, researchers can focus their energies on ideas with the greatest likelihood of being correct.

Large samples
In addition to being large, many of the samples are randomly selected and/or nationally representative. When not large, samples typically comprise hard-to-find or theoretically important groups.

Detailed data
Many of the studies use longitudinal data. The data sources are also diverse, such as policy analysis, time-use studies, in-depth interviews, or public records of organizational performance.

Creativity
Throughout the studies there are many examples of researchers developing creative solutions to research problems. A couple examples from past nominees include working around the problem of trying to develop a representative sample with limited resources and a pool of volunteer respondents (who usually aren’t representative) and using transition to retirement to reveal the dynamics of dividing household labor.
",no,,no,,no,,https://centers.purdue.edu/cff/initiatives/kanteraward/winners/,2022,2000,"The award is given by searching More than 80 leading English-language journals from around the world are typically reviewed for the Kanter competition. The selection of journals is guided using four sources: an empirical study by Bob Drago identifying where most of the work-family literature appears, the journals most frequently appearing in the citation database developed by the Sloan Work-Family Researchers’ Network, and an informal survey of leading researchers about the journals they regularly read. Members of the review panel are also surveyed each year about journals they recommend adding to the list.",I suspect an overlap of journals considered since this award consider around 80 journals for the award,,,,,,
3/27/2023 3:59:34,Aswathi Surendran,Arts and Humanities,Tanaka Award for Annual Best Article in MBR ,https://www.smep.org/awards/tanaka,"The Tanaka Award for Annual Best Article in MBR is named for Jeffrey Tanaka, an outstanding and well-liked member of SMEP who died in 1992. This award is given annually to the authors of the most outstanding paper published in Multivariate Behavioral Research. Each year SMEP members vote among all papers published in the journal. T",yes (eligible award),, Multivariate Behavioral Research Journal,NA,NA,NA,yes,"The awardees receive a $1,000 honorarium.",any career stage,,not applicable,,no,,yes,Each year SMEP members vote among all papers published in the journal,no,,no,,no,,no,,no,,no,,https://www.smep.org/awards/tanaka,2021,1994,,,,,,,,
3/27/2023 8:54:59,Losia Lagisz,Environmental Science,CAES Publication of Enduring Quality Award,https://caes-scae.ca/awards/,"The CAES is accepting nominations for the prestigious Publication of Enduring Quality Award. Publications that qualify include books, articles within books, and journal articles. Send us your nominations of publications that have had a significant impact on agricultural, food and resource economics that are at least 10 years old. Please take a moment to write down why this publication has been, and continues to be, important. That’s all it takes to complete the nomination! It is important to celebrate our accomplishments and nominating a colleague is an excellent way to both celebrate and let others know about the exciting research that happens within our profession. Send your nominations to the Awards Committee Chair Xiaoli Fan at xiaoli@ualberta.ca by March 1, 2023.",yes (eligible award),,NA,Publication of Enduring Quality Award from the Canadian Agricultural Economics Society,NA,,no,,any career stage,,not applicable,,no,,no,,no,,no,,no,"Send us your nominations of publications that have had a significant impact on agricultural, food and resource economics that are at least 10 years old. Please take a moment to write down why this publication has been, and continues to be, important.",no,,no,,yes,"Send us your nominations of publications that have had a significant impact on agricultural, food and resource economics that are at least 10 years old. Please take a moment to write down why this publication has been, and continues to be, important.",https://caes-scae.ca/award-winners/,2022,2007,,,,,,,,
